央视,#genre#
河北卫视,http://192.168.0.101:35455/rptv/G_HEBEI-CQ.m3u8?license=gitv
河南卫视,http://192.168.0.101:35455/rptv/G_HENAN-CQ.m3u8?license=gitv
广东卫视,http://192.168.0.101:35455/rptv/G_GUANGDONG-HD-265-8M.m3u8?license=gitv
深圳卫视,http://192.168.0.101:35455/rptv/G_SHENZHEN-HD-265-8M.m3u8?license=gitv
甘肃卫视,http://192.168.0.101:35455/rptv/G_GANSU-HD.m3u8?license=gitv
江西卫视,http://192.168.0.101:35455/rptv/G_JIANGXI-CQ.m3u8?license=gitv
四川卫视,http://192.168.0.101:35455/rptv/G_SICHUAN-CQ.m3u8?license=gitv
重庆卫视,http://192.168.0.101:35455/rptv/G_CHONGQING-CQ.m3u8?license=gitv
贵州卫视,http://192.168.0.101:35455/rptv/G_GUIZHOU-CQ.m3u8?license=gitv
云南卫视,http://192.168.0.101:35455/rptv/G_YUNNAN-HQ.m3u8?license=gitv
海南卫视,http://192.168.0.101:35455/rptv/HD-8000k-1080P-lvyoustv.m3u8?license=gitv
三沙卫视,http://192.168.0.101:35455/rptv/G_SANSHA-HQ.m3u8?license=gitv
内蒙古卫视,http://192.168.0.101:35455/rptv/G_NEIMENGGU.m3u8?license=gitv
宁夏卫视,http://192.168.0.101:35455/rptv/G_NINGXIA.m3u8?license=gitv
山西卫视,http://192.168.0.101:35455/rptv/SXWS.m3u8?license=gitv
陕西卫视,http://192.168.0.101:35455/rptv/G_SHANXI.m3u8?license=gitv
广西卫视,http://192.168.0.101:35455/rptv/GXWS.m3u8?license=gitv
西藏卫视,http://192.168.0.101:35455/rptv/G_XIZANG.m3u8?license=gitv
新疆卫视,http://192.168.0.101:35455/rptv/G_XINJIANG-HD.m3u8?license=gitv
青海卫视,http://192.168.0.101:35455/rptv/G_QINGHAI.m3u8?license=gitv
厦门卫视,http://192.168.0.101:35455/rptv/G_XIAMEN.m3u8?license=gitv
兵团卫视,http://192.168.0.101:35455/rptv/G_BINGTUAN.m3u8?license=gitv
康巴卫视,http://192.168.0.101:35455/rptv/G_KANGBA.m3u8?license=gitv
延边卫视,http://192.168.0.101:35455/rptv/G_YANBIAN.m3u8?license=gitv
安多卫视,http://192.168.0.101:35455/rptv/G_ANDUO.m3u8?license=gitv
农林卫视,http://192.168.0.101:35455/rptv/G_NONGLIN.m3u8?license=gitv
山东教育,http://192.168.0.101:35455/rptv/G_SDETV.m3u8?license=gitv

NewTV,#genre#
黑莓电影,http://192.168.0.101:35455/rptv/HD-8000k-1080P-Supermovie.m3u8?license=gitv
古装剧场,http://192.168.0.101:35455/rptv/n-guzhuangjc.m3u8?license=gitv
动作电影,http://192.168.0.101:35455/rptv/n-dongzuody.m3u8?license=gitv
军旅剧场,http://192.168.0.101:35455/rptv/n-junlvjc.m3u8?license=gitv
家庭剧场,http://192.168.0.101:35455/rptv/n-jiatingjc.m3u8?license=gitv
惊悚悬疑,http://192.168.0.101:35455/rptv/n-jingsongxy.m3u8?license=gitv
热播精选,http://192.168.0.101:35455/rptv/n-xiqumd.m3u8?license=gitv
精品综合,http://192.168.0.101:35455/rptv/n-mingxingdp.m3u8?license=gitv
爱情喜剧,http://192.168.0.101:35455/rptv/n-aiqingxj.m3u8?license=gitv
精品大剧,http://192.168.0.101:35455/rptv/n-jdaju.m3u8?license=gitv
中国功夫,http://192.168.0.101:35455/rptv/n-gzkongfu.m3u8?license=gitv
军旅剧场,http://192.168.0.101:35455/rptv/n-junlvjc.m3u8?license=cntv
家庭剧场,http://192.168.0.101:35455/rptv/n-jiatingjc.m3u8?license=cntv
惊悚悬疑,http://192.168.0.101:35455/rptv/n-jingsongxy.m3u8?license=cntv
