Epg=1
央视频道,#genre#
CCTV-14 少儿,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/CCTV14.png$tvg=CCTV14
CCTV-15 音乐,http://39.135.140.104:6610/PLTV/88888888/224/3221225641/2/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/CCTV15.png$tvg=CCTV15
CCTV-15 音乐,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/CCTV15.png$tvg=CCTV15
CCTV-16 奥林匹克,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226232/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/CCTV16.png$tvg=CCTV16
CCTV-16 奥林匹克,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/CCTV16.png$tvg=CCTV16
卫视频道,#genre#
湖南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225490/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/湖南卫视.png$tvg=湖南卫视
湖南卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/湖南卫视.png$tvg=湖南卫视
浙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225491/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/浙江卫视.png$tvg=浙江卫视
浙江卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/浙江卫视.png$tvg=浙江卫视
江苏卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225488/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/江苏卫视.png$tvg=江苏卫视
江苏卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/江苏卫视.png$tvg=江苏卫视
东方卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225489/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/东方卫视.png$tvg=东方卫视
东方卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/东方卫视.png$tvg=东方卫视
广东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225597/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/广东卫视.png$tvg=广东卫视
广东卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/广东卫视.png$tvg=广东卫视
广西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226211/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/广西卫视.png$tvg=广西卫视
广西卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/广西卫视.png$tvg=广西卫视
深圳卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225598/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/深圳卫视.png$tvg=深圳卫视
深圳卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/深圳卫视.png$tvg=深圳卫视
北京卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225600/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/北京卫视.png$tvg=北京卫视
北京卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/北京卫视.png$tvg=北京卫视
东南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225585/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/东南卫视.png$tvg=东南卫视
东南卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/东南卫视.png$tvg=东南卫视
四川卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225487/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/四川卫视.png$tvg=四川卫视
四川卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/四川卫视.png$tvg=四川卫视
天津卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225485/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/天津卫视.png$tvg=天津卫视
天津卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/天津卫视.png$tvg=天津卫视
安徽卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225691/2/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/安徽卫视.png$tvg=安徽卫视
安徽卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/安徽卫视.png$tvg=安徽卫视
山东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225484/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/山东卫视.png$tvg=山东卫视
